title,source,formatted_date,url,body
OpenAI's $8 ChatGPT Go is here; ads are coming too,Samaa TV,2026-01-18 04:46:00,https://www.samaa.tv/2087344775-openai-s-8-chatgpt-go-is-here-ads-are-coming-too,"OpenAI launches ChatGPT Go in the U.S., offering GPT-5.2, higher usage limits, and enhanced memory for $8/month, while testing ads in free and Go tiers."
"ChatGPT is Getting Ads Despite Sam Altman Calling It ""Uniquely Unsettling""",Beebom,2026-01-17 06:14:00,https://beebom.com/chatgpt-free-and-go-getting-ads-soon/,"OpenAI has confirmed that ads are coming to ChatGPT, and it will roll out to Free and Go users. It's initially launching in the US in the coming weeks."
"ChatGPT Go Goes Worldwide, with GPT-5.2 Instant, Clear Ad Labels, and Extended Memory",Geeky Gadgets,2026-01-17 11:14:00,https://www.geeky-gadgets.com/chatgpt-go-global-launch/,"ChatGPT Go launches in 171 countries and $8 in the US, adding GPT-5.2 Instant and 10x messages so you get faster help. Advert supported"
Ads Are Coming to ChatGPT. Here's How They'll Work,Wired,2026-01-16 18:07:00,https://www.wired.com/story/openai-testing-ads-us/,"OpenAI says ads will not influence ChatGPT's responses, and that all ads will appear in separate, clearly labeled boxes directly below the chatbot's answer. For instance, if a user asks ChatGPT for help planning a trip to New York City,"
ChatGPT tests ads as a new era of AI begins,Fortune,2026-01-17 00:29:00,https://www.msn.com/en-us/news/technology/chatgpt-tests-ads-as-a-new-era-of-ai-begins/ar-AA1Unpdq,Ads are coming to the bottom of ChatGPT's answers for certain users—as the $500 billion startup looks to offset the massive costs of offering generative AI services.
"ChatGPT Go subscription rolls out worldwide at $8, but it'll show you ads",Bleeping Computer,2026-01-16 22:43:00,https://www.bleepingcomputer.com/news/artificial-intelligence/chatgpt-go-subscription-rolls-out-worldwide-at-8-but-itll-show-you-ads/,"OpenAI's $8 ChatGPT Go subscription, which gives you 10x more messages, is now available in the United States and other regions."
"ChatGPT Go is Now Available Worldwide, But Free and Go Users Will Soon See Ads",Thurrott.com,2026-01-16 18:50:00,https://www.thurrott.com/a-i/331745/chatgpt-go-is-now-available-worldwide-but-free-and-go-users-will-soon-see-ads,"The cheaper ChatGPT Go plan is now available, but OpenAI will soon start testing ads in ChatGPT's Go and Free tiers, starting with the US."
"ChatGPT is getting ads soon, starting with free users",TechSpot,2026-01-17 16:04:00,https://www.techspot.com/news/110962-chatgpt-getting-ads-soon-starting-free-users.html,ChatGPT users in the US will start seeing ads in the coming weeks unless they subscribe to the Plus or Pro tiers. The chatbot will not
"OpenAI launches cheaper ChatGPT subscription, says ads are coming next",9to5Mac,2026-01-16 18:29:00,https://9to5mac.com/2026/01/16/openai-launches-cheaper-chatgpt-subscription-says-ads-are-coming-next/,OpenAI is bringing its $8/month ChatGPT Go plan to the U.S. and says it will begin testing ads soon in the free tier and Go.
"Ads are coming to ChatGPT soon, OpenAI announces",13WMAZ,2026-01-16 20:42:00,https://www.13wmaz.com/article/news/nation-world/ads-coming-to-chatgpt-soon-openai-announces/507-f2062405-8ade-43ee-a14f-0b745975628c,"Advertisements will soon show up in both free and paid subscribers of the popular chatbot, the massive artificial technology company announced on Friday."
OpenAI will test ads on ChatGPT,Forbes,2026-01-16 20:50:02,https://www.msn.com/en-us/money/other/openai-will-test-ads-on-chatgpt/ar-AA1Un4yV,"According to guidelines posted by OpenAI on Friday afternoon, responses in ChatGPT will not be influenced by ads, which will be clearly labeled, and conversations will not be accessible to advertisers. OpenAI CEO Sam Altman said on X changes will apply to ChatGPT free and ChatGPT Go users, who pay a monthly subscription of $8."
OpenAI to begin testing ads in ChatGPT in push for fresh revenue,The Wall Street Journal,2026-01-16 18:00:00,https://www.msn.com/en-us/money/companies/openai-to-begin-testing-ads-in-chatgpt-in-push-for-fresh-revenue/ar-AA1UmEYz,"The company will begin showing ads in the free version of the chatbot, as well as its cheapest subscription tier, called ChatGPT Go. Ads will appear at the bottom of ChatGPT's answers and be labeled. OpenAI's more expensive subscription tiers won't show users ads."
OpenAI says it is bringing ads to ChatGPT,Adweek,2026-01-16 19:07:34,https://www.msn.com/en-us/money/other/openai-says-it-is-bringing-ads-to-chatgpt/ar-AA1Un1kz,"OpenAI will start testing ads in ChatGPT's Free and Go tiers, letting users interact with sponsored products while keeping subscriptions ad-free."
Ads coming to ChatGPT for some US users,Fox Business,2026-01-17 18:38:00,https://www.msn.com/en-us/money/other/ads-coming-to-chatgpt-for-some-us-users-as-openai-seeks-to-generate-new-revenue/ar-AA1UoH8z,"OpenAI has relied largely on subscriptions for revenue but could generate significant ad income from ChatGPT's estimated 800 million weekly active users. The company plans to spend more than $1 trillion on artificial intelligence infrastructure by 2030 but has not said how it will cover the costs, according to Reuters."
"Yes, ChatGPT is getting ads — here's what that means and how to opt out",TechRadar,2026-01-16 21:27:19,https://www.msn.com/en-us/news/technology/yes-chatgpt-is-getting-ads-here-s-what-that-means-and-how-to-opt-out/ar-AA1UnyFm,"However, OpenAI says, ""We'll always offer a way to not see ads in ChatGPT, including a paid tier that's ad-free,"" which suggests there might be other alternatives for turning off ads, though it's not clear right now what those might be."
"ChatGPT to show ads amid rising costs, but some users will get exemptions",Newspoint,2026-01-18 03:07:54,https://www.msn.com/en-in/technology/artificial-intelligence/chatgpt-to-show-ads-amid-rising-costs-but-some-users-will-get-exemptions/ar-AA1UqKvn,"OpenAI, the US-based AI giant, has announced that it is starting trials to display advertisements on its widely used chatbot, ChatGPT. This move comes as the company faces rising infrastructure costs and increasing pressure to generate revenue."
"I Asked ChatGPT the Best Way To Break Into Real Estate Investing With Only $1,000",AOL,2026-01-16 10:05:00,https://www.aol.com/articles/asked-chatgpt-best-way-break-080531730.html,"To get a high-level view, I asked ChatGPT to drill down the best ways to break into real estate investing with this modest sum."
